Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Memphis Grizzlies,Portland Trail Blazers,100,107,-135,+114
N/A,Miami Heat,Utah Jazz,126,120,-417,+309
N/A,Brooklyn Nets,Atlanta Hawks,114,102,-106,-111
N/A,Los Angeles Clippers,Washington Wizards,140,115,-1250,+760
N/A,Chicago Bulls,Milwaukee Bucks,97,113,+138,-164
N/A,Memphis Grizzlies,Portland Trail Blazers,92,122,-115,-105
N/A,Minnesota Timberwolves,Sacramento Kings,120,124,-345,+263
N/A,New Orleans Pelicans,Indiana Pacers,129,102,-204,+167
N/A,Boston Celtics,Dallas Mavericks,138,110,-385,+297
N/A,Toronto Raptors,Golden State Warriors,105,120,+121,-145
N/A,Detroit Pistons,Cleveland Cavaliers,100,110,+220,-278
N/A,Philadelphia 76ers,Charlotte Hornets,121,114,-714,+472
N/A,Los Angeles Lakers,Washington Wizards,134,131,-556,+393
N/A,Denver Nuggets,Miami Heat,103,97,-270,+214
N/A,Phoenix Suns,Houston Rockets,110,105,-400,+294
N/A,San Antonio Spurs,Oklahoma City Thunder,132,118,+400,-556
N/A,Brooklyn Nets,Atlanta Hawks,124,97,-116,-102
N/A,New York Knicks,Golden State Warriors,99,110,+133,-159
N/A,Charlotte Hornets,Milwaukee Bucks,99,111,+445,-625
N/A,Orlando Magic,Utah Jazz,115,107,-263,+213
N/A,Los Angeles Clippers,Los Angeles Lakers,112,116,-120,+102
N/A,Denver Nuggets,Sacramento Kings,117,96,-417,+313
N/A,Chicago Bulls,Cleveland Cavaliers,132,123,+175,-217
N/A,Minnesota Timberwolves,Memphis Grizzlies,110,101,-1000,+615
N/A,Indiana Pacers,New Orleans Pelicans,123,114,-172,+144
N/A,Toronto Raptors,Dallas Mavericks,125,136,+138,-164
N/A,Oklahoma City Thunder,Houston Rockets,112,95,-476,+348
N/A,Portland Trail Blazers,Miami Heat,96,106,+229,-286
N/A,Milwaukee Bucks,Charlotte Hornets,123,85,-1111,+660
N/A,Chicago Bulls,Detroit Pistons,95,105,-500,+370
N/A,Minnesota Timberwolves,San Antonio Spurs,114,105,-909,+580
N/A,Atlanta Hawks,Utah Jazz,124,97,-128,+108
N/A,Boston Celtics,Philadelphia 76ers,117,99,-625,+441
N/A,New York Knicks,New Orleans Pelicans,92,115,+202,-250
N/A,Cleveland Cavaliers,Dallas Mavericks,121,119,-172,+144
N/A,Orlando Magic,Brooklyn Nets,108,81,-256,+204
N/A,Washington Wizards,Golden State Warriors,112,123,+398,-556
N/A,Sacramento Kings,Miami Heat,110,121,-278,+225
N/A,Memphis Grizzlies,Brooklyn Nets,86,111,+119,-143
N/A,New York Knicks,Detroit Pistons,113,111,-625,+445
